Player,Hands,Result,RakePaid,1kRakeback,5kRakeback,>5kRakeback,Cumulative,winrate,Rbwinrate,rbeffect,Reg,PlayerType,RBReg,RB_PlayerType
Player 562,613,20.03,47.99,4.799,0,0,4.8,3.267536705,4.050570962,0.239640539,1,1,1,1
Player 563,611,-40.53,49.75,4.975,0,0,4.98,-6.633387889,-5.818330606,0.122871947,0,0,0,0
Player 564,611,-32.48,59.15,5.915,0,0,5.92,-5.315875614,-4.346972177,0.18226601,0,0,0,0
Player 565,609,-461.8,37.99,3.799,0,0,3.8,-75.82922824,-75.20525452,0.00822867,0,0,0,0
Player 566,608,-666.35,69.54,6.954,0,0,6.95,-109.5970395,-108.4539474,0.010429954,0,0,0,0
Player 567,607,-53.39,52.82,5.282,0,0,5.28,-8.795716639,-7.925864909,0.098894924,0,0,0,0
Player 568,606,37.76,52.91,5.291,0,0,5.29,6.231023102,7.103960396,0.140095339,1,1,1,1
Player 569,604,432.45,90.22,9.022,0,0,9.02,71.59768212,73.0910596,0.020857903,1,1,1,1
Player 570,602,-74.17,51.66,5.166,0,0,5.17,-12.32059801,-11.46179402,0.069704732,0,0,0,0
Player 571,601,-385.53,58.28,5.828,0,0,5.83,-64.14808652,-63.17803661,0.01512204,0,0,0,0
Player 572,600,-451.5,101.3,10.13,0,0,10.13,-75.25,-73.56166667,0.022436323,0,0,0,0
Player 573,599,-606.52,130.8,13.08,0,0,13.08,-101.2554257,-99.07178631,0.021565653,0,0,0,0
Player 574,598,-41.71,29.65,2.965,0,0,2.97,-6.974916388,-6.47826087,0.071205946,0,0,0,0
Player 575,596,159.93,132.77,13.277,0,0,13.28,26.83389262,29.06208054,0.083036328,1,1,1,1
Player 576,595,-34.58,90.98,9.098,0,0,9.1,-5.811764706,-4.282352941,0.263157895,0,0,0,0
Player 577,594,-70.77,104.42,10.442,0,0,10.44,-11.91414141,-10.15656566,0.147520136,0,0,0,0
Player 578,592,-494.13,79,7.9,0,0,7.9,-83.46790541,-82.13344595,0.015987696,0,0,0,0
Player 579,591,91.55,86.64,8.664,0,0,8.66,15.49069374,16.95600677,0.094593119,1,1,1,1
Player 580,590,-219.36,33.17,3.317,0,0,3.32,-37.17966102,-36.61694915,0.015134938,0,0,0,0
Player 581,589,-229.21,58.87,5.887,0,0,5.89,-38.91511036,-37.91511036,0.025696959,0,0,0,0
Player 582,588,145.64,56.24,5.624,0,0,5.62,24.76870748,25.7244898,0.0385883,1,1,1,1
Player 583,587,-26.59,27.39,2.739,0,0,2.74,-4.529812606,-4.063032368,0.103046258,0,0,0,0
Player 584,586,-81.96,103.98,10.398,0,0,10.4,-13.98634812,-12.2116041,0.126891166,0,0,0,0
