,Hands,Result,Rake Paid
Player 184,2605,420.84,191.67
Player 185,2578,-46.34,155.21
Player 186,2558,282.62,154.22
Player 187,2532,-868.93,257.5
Player 188,2522,-749.08,297.02
Player 189,2508,-97.31,137.6
Player 190,2487,-353.22,169.2
Player 191,2473,-555.45,173.32
Player 192,2460,-77.65,163.13
Player 193,2436,353.47,274.42
Player 194,2420,-101.74,115.9
Player 195,2404,-546.12,149.94
Player 196,2388,-100.9,380.51
Player 197,2366,-1753.78,305.48
Player 198,2356,-676.59,161.1
Player 199,2327,-255.97,189.59
Player 200,2309,1874.48,349.73
Player 201,2285,-98.49,174.74
Player 202,2266,-1252.92,342.71
Player 203,2255,-402.83,175.78
Player 204,2241,-606.81,123.9
Player 205,2227,-48.87,189
Player 206,2216,-806.36,384.4
Player 207,2206,-488.56,113.57
Player 208,2189,-464.63,263.11
Player 209,2176,-898.75,280.22
Player 210,2155,-1036.72,117.59
Player 211,2142,-376.94,86.69
Player 212,2122,-1330.88,307.8
Player 213,2107,239.69,114.87
Player 214,2098,-530.38,175.95
Player 215,2089,-532.69,224.73
Player 216,2074,-269.44,246.93
Player 217,2063,7.84,214.79
Player 218,2051,-882.71,220.57
Player 219,2039,-729.87,93.67
Player 220,2031,-678.47,75.85
Player 221,2012,-1011.9,159.29
Player 222,1996,41.52,222.14
Player 223,1983,-553.76,168.06
Player 224,1969,-1363.84,294.02
Player 225,1958,154.28,128.93
Player 226,1943,-81.32,99.82
Player 227,1936,-484.55,192.79
Player 228,1924,-1125.68,312.14
Player 229,1911,-92.97,145.29
Player 230,1898,-506.5,161.52
Player 231,1885,-799.85,203.61
Player 232,1878,-313.72,89.3
Player 233,1864,-551.61,152.99
Player 234,1854,209.97,120.42
Player 235,1842,-332.18,136.34
Player 236,1830,-1416.45,356.55
Player 237,1820,-246.82,131.68
Player 238,1814,-352.12,118.35
Player 239,1806,-693.76,114.79
Player 240,1798,348.37,119.32
Player 241,1787,78.29,144.53
Player 242,1772,-954.95,111.63
Player 243,1762,-447.13,179.23
Player 244,1755,-261.53,107.54
Player 245,1742,-280.35,212.9
Player 246,1736,29.26,218.55
Player 247,1728,75.45,227.06
Player 248,1716,-336.33,174.3
Player 249,1709,-99.09,83.56
Player 250,1697,-117.33,141.56
Player 251,1684,-735.6,143.83
Player 252,1677,-665.01,185.36
Player 253,1671,-244.43,140.04
Player 254,1667,-281.9,63.85
Player 255,1659,-1140.79,125.56
Player 256,1653,293.87,136.28
Player 257,1643,-5.04,92.11
Player 258,1626,-433.23,223.39
Player 259,1614,-722.28,162.27
Player 260,1609,-1156.17,300.14
Player 261,1602,-436.96,148.32
Player 262,1596,-209.88,82.78
Player 263,1587,-221.63,139.05
Player 264,1576,187.5,263.86
Player 265,1568,-289.64,75.21
Player 266,1562,-648.38,152.7
Player 267,1556,275.98,161.52
Player 268,1552,-198.67,109.33
Player 269,1545,574.64,139.02
Player 270,1531,-72.38,122.9
Player 271,1525,-244.04,184.29
Player 272,1517,-483.37,231.53
Player 273,1507,-869.93,182.22
Player 274,1499,87.79,108.59
Player 275,1492,-222.3,107.75
Player 276,1486,-170.34,149.3
Player 277,1481,-213.53,108.68
Player 278,1472,-404.75,100.31
Player 279,1466,-1116.05,120.61
Player 280,1462,-570.14,180.28
Player 281,1455,-457.46,113.83
Player 282,1448,-362.34,100.61
Player 283,1442,-62.12,140.66
Player 284,1438,-234.06,83.58
Player 285,1431,-50.1,66.49
Player 286,1423,-302.79,104.46
Player 287,1417,60.71,115.84
Player 288,1413,459.72,176.78
Player 289,1405,-580.3,266.08
Player 290,1402,-45.57,198.2
Player 291,1396,-716.88,223.73
Player 292,1391,-495.95,112.32
Player 293,1382,-568.06,128.13
Player 294,1376,-995,136.31
Player 295,1370,160.24,118.11
Player 296,1365,185.89,178.04
Player 297,1359,-671.47,74.77
Player 298,1354,-320.06,68.15
Player 299,1348,-366.73,75.37
Player 300,1343,-513.11,89.03
Player 301,1338,-216.24,194.23
