,Hands,Result,Rake Paid
Player 853,364,172.09,35.39
Player 854,363,-426.85,43.16
Player 855,363,-66.97,55.49
Player 856,362,278.44,47.36
Player 857,361,-258.69,19.67
Player 858,360,-127.16,31.07
Player 859,360,-439.49,63.62
Player 860,359,-297.21,15.43
Player 861,358,63.38,20.94
Player 862,357,-221.56,48.08
Player 863,357,-156.73,23.75
Player 864,357,235.54,49.51
Player 865,356,-350.37,46.76
Player 866,356,-11.25,19.47
Player 867,355,-30.61,22.85
Player 868,354,-94.82,18.48
Player 869,354,-71.67,44.34
Player 870,354,-165.7,67.53
Player 871,353,-244,36.05
Player 872,353,-398.32,40.17
Player 873,352,-77.81,31.68
Player 874,352,32.21,36.1
Player 875,351,-326.57,19.04
Player 876,350,-148.44,35.22
Player 877,350,4.85,36.53
Player 878,349,-231.8,35.85
Player 879,349,-84.49,18.96
Player 880,348,32.8,45.26
Player 881,348,31.78,40.8
Player 882,347,-163.48,29.12
Player 883,347,-166.56,27.98
Player 884,346,-144.65,31.84
Player 885,346,-267.5,52.75
Player 886,345,-414.08,21.23
Player 887,345,-247.5,54.3
Player 888,344,74.59,42.06
Player 889,344,-12.68,26.87
Player 890,343,-303.54,34.44
Player 891,342,-109.75,26.52
Player 892,342,-317.64,31.86
Player 893,342,-496.79,43.55
Player 894,341,95.6,35.65
Player 895,341,-76.83,21.69
Player 896,340,-28.39,68.9
Player 897,340,-291.95,55.9
Player 898,339,-138.27,24.47
Player 899,339,-133.9,21.86
Player 900,338,-93.11,27.26
Player 901,338,-381.86,22.85
Player 902,337,-210.14,61.84
Player 903,337,-214.46,30.47
Player 904,336,105.66,33.43
Player 905,336,-50.59,13.73
Player 906,335,-83.02,28.17
Player 907,335,-98.9,33.85
Player 908,334,-152.51,33.61
Player 909,334,-87.96,35.24
Player 910,333,-178.25,36.2
Player 911,332,46.13,33.79
Player 912,332,-214.15,19.84
Player 913,331,-239.91,23.77
Player 914,331,-223.23,119.04
Player 915,331,-89.72,24.46
Player 916,330,-43.16,15.24
Player 917,330,195.11,52.1
Player 918,329,150.07,30.16
Player 919,329,-338.7,42.93
Player 920,328,-78.4,44.81
Player 921,328,131.42,36.63
Player 922,327,-97.51,33.7
Player 923,327,7.58,90.48
Player 924,326,-32.51,50.37
Player 925,326,40.73,36.6
Player 926,325,65.06,22
Player 927,325,-158,73.92
Player 928,325,-24.91,31.5
Player 929,324,-272.08,18.97
Player 930,324,241.35,44.62
Player 931,323,-152.87,20.99
Player 932,323,-241.97,26.59
Player 933,322,-45.81,20.6
Player 934,322,-224.84,9.45
Player 935,322,-362.95,24.97
Player 936,321,-412.23,43.06
Player 937,321,-2,17.39
Player 938,320,-77.97,7.83
Player 939,320,-127.67,23.07
Player 940,319,-358.21,39.94
Player 941,319,-409.61,39.36
Player 942,318,-114.79,32.87
Player 943,318,-65.56,41.88
Player 944,317,-174.12,26.63
Player 945,317,16.31,16.69
Player 946,316,-54.14,38.5
Player 947,316,-323.59,29.08
Player 948,316,-249.42,42.4
Player 949,316,-36.87,43.53
Player 950,315,-145.06,52.47
Player 951,315,-158.14,28.04
Player 952,314,-449.2,57.1
Player 953,314,-121.59,24.25
Player 954,314,-466.61,75.34
Player 955,313,-143.35,44.96
Player 956,313,5.04,26.77
Player 957,312,-346.04,40.95
Player 958,312,-208.79,25.7
Player 959,311,327.42,57.32
Player 960,311,161.99,36.41
Player 961,311,-400.21,49.68
Player 962,310,191.84,29.45
Player 963,310,94.83,35.34
Player 964,309,257.72,39.1
Player 965,309,53.85,23.87
Player 966,309,-474.48,121.59
Player 967,308,-333.11,20.7
Player 968,308,203.41,47.86
Player 969,307,-254.96,26.38
Player 970,307,-79.88,21.62
Player 971,306,61.37,50.16
Player 972,306,-26.42,24.63
Player 973,305,-0.54,56.25
Player 974,305,-11.77,74.86
Player 975,305,-134.33,25.99
Player 976,304,144.78,59.12
Player 977,304,-67.05,26.6
Player 978,303,-55.23,42.4
Player 979,303,-331.75,35.07
Player 980,302,-63.4,21.4
Player 981,302,-190.18,32.57
Player 982,302,123.61,31.22
Player 983,301,-120.01,36.56
Player 984,301,-120.99,38.4
Player 985,301,247.54,31.35
Player 986,300,-231.26,18.73
Player 987,300,-229.02,30.6
Player 988,299,-132.23,21.74
Player 989,299,-65.71,25.09
Player 990,298,-203.32,37.78
Player 991,298,87.83,39.56
Player 992,298,-66.03,33.04
Player 993,297,-27.6,16.16
Player 994,297,-92.02,36.24
Player 995,297,-404.41,37.19
Player 996,296,-197.43,13.06
Player 997,296,202.89,33.5
Player 998,296,209.29,68.2
Player 999,295,-105.99,30.53
Player 1000,295,-154.06,22.48
