Player,Hands,Result,RakePaid,FlatRB,winrate,Rbwinrate,Rbeffect,Reg,PlayerType,RBReg,RB_PlayerType
Player 322,1223,-87.28,148.97,29.794,-7.136549469,-4.700408831,0.341361137,0,0,0,1
Player 323,1218,688.45,144.98,28.996,56.52298851,58.90361248,0.042117801,1,1,1,1
Player 324,1213,-608.49,190.75,38.15,-50.16405606,-47.01896125,0.062696182,0,0,0,1
Player 325,1209,-375.75,109.16,21.832,-31.07940447,-29.27361456,0.058102462,0,0,0,1
Player 326,1206,266.43,124.48,24.896,22.0920398,24.15638474,0.093442931,1,1,1,1
Player 327,1203,-451.27,196.03,39.206,-37.5120532,-34.25303408,0.086879252,0,0,0,1
Player 328,1200,-33.59,99.73,19.946,-2.799166667,-1.137,0.593807681,0,0,0,1
Player 329,1192,158.33,160.94,32.188,13.28271812,15.98305369,0.203296911,1,1,1,1
Player 330,1185,384.29,129.78,25.956,32.42953586,34.61991561,0.067542741,1,1,1,1
Player 331,1182,-1274.69,181.99,36.398,-107.8417936,-104.7624365,0.028554394,0,0,0,1
Player 332,1177,-395.86,111.01,22.202,-33.63296517,-31.74664401,0.056085485,0,0,0,1
Player 333,1173,-596.03,115.8,23.16,-50.81244672,-48.83802217,0.038857104,0,0,0,1
Player 334,1171,-398.37,121.04,24.208,-34.01964133,-31.95234842,0.060767628,0,0,0,1
Player 335,1167,-136.67,120.04,24.008,-11.71122536,-9.653984576,0.175664008,0,0,0,1
Player 336,1164,-219.08,149.74,29.948,-18.82130584,-16.24845361,0.136698923,0,0,0,1
Player 337,1159,-827.65,58.7,11.74,-71.41069888,-70.39775669,0.01418474,0,0,0,1
Player 338,1155,-116.96,101.31,20.262,-10.12640693,-8.372121212,0.173238714,0,0,0,1
Player 339,1151,-382.41,100.1,20.02,-33.22415291,-31.48479583,0.052352187,0,0,0,1
Player 340,1147,-349.72,140.92,28.184,-30.48997384,-28.03278117,0.080590186,0,0,0,1
Player 341,1143,-320.44,85.54,17.108,-28.03499563,-26.53823272,0.05338909,0,0,0,1
Player 342,1138,11.07,229.61,45.922,0.972759227,5.008084359,4.148328816,1,1,1,1
Player 343,1134,-312.72,90.45,18.09,-27.57671958,-25.98148148,0.057847276,0,0,0,1
Player 344,1131,-261.97,60.27,12.054,-23.16268789,-22.09690539,0.046012903,0,0,0,1
Player 345,1126,-478.87,90.94,18.188,-42.52841918,-40.91314387,0.03798108,0,0,0,1
Player 346,1123,-311.34,138.34,27.668,-27.7239537,-25.2601959,0.088867476,0,0,0,1
Player 347,1119,-994.26,146.16,29.232,-88.85254692,-86.24021448,0.02940076,0,0,0,1
Player 348,1116,-442.35,84.27,16.854,-39.63709677,-38.12688172,0.038101051,0,0,0,1
Player 349,1113,-324.71,139.89,27.978,-29.17430368,-26.66055705,0.086163038,0,0,0,1
Player 350,1109,-611.92,108.19,21.638,-55.17763751,-53.22651037,0.035360831,0,0,0,1
Player 351,1105,63.15,83.28,16.656,5.714932127,7.222262443,0.263752969,1,1,1,1
Player 352,1101,-210.71,117.77,23.554,-19.13805631,-16.99872843,0.111783968,0,0,0,1
Player 353,1097,-621.6,125.84,25.168,-56.66362808,-54.36937101,0.040489061,0,0,0,1
Player 354,1094,219.02,58.71,11.742,20.02010969,21.09341865,0.053611542,1,1,1,1
Player 355,1091,-11.09,189.49,37.898,-1.016498625,2.457195234,3.417312895,0,1,1,1
Player 356,1086,-267.26,85.98,17.196,-24.60957643,-23.02615101,0.06434184,0,0,0,1
Player 357,1083,178.74,140.33,28.066,16.50415512,19.0956602,0.157021372,1,1,1,1
Player 358,1078,355.4,119.64,23.928,32.96846011,35.18812616,0.067326956,1,1,1,1
